"","N","G","R","H''","J'","D","V","Hill"
"E-1-",20,18,0.894736842105263,2.83094043025377,0.979438171757653,0.984210526315789,0,63.3333333333333
"E-10",9,9,1,NA,NA,NA,NA,NA
"E-11",5,5,1,NA,NA,NA,NA,NA
"E-2-",25,22,0.875,3.05252050153381,0.987537553299325,0.99,0.698412698412693,100
"E-3-",27,20,0.730769230769231,2.91704765594493,0.973734429373519,0.977207977207977,0.859291084854995,43.875
"E-4-",19,13,0.666666666666667,2.40615957539782,0.93809242993364,0.941520467836257,0.662037037037037,17.1
"E-5-",32,17,0.516129032258065,2.56659891811451,0.905896805653187,0.923387096774194,0.774444444444445,13.0526315789474
"E-6-",14,11,0.769230769230769,2.34199425223242,0.976687463710328,0.967032967032967,0.733333333333335,30.3333333333333
"E-7-",27,17,0.615384615384615,2.52567333204883,0.891451869428552,0.911680911680912,0.509999999999999,11.3225806451613
"E-8-1",18,14,0.764705882352941,2.58230634431397,0.978495736085595,0.973856209150327,0.807692307692306,38.25
"E-8-2",11,9,0.8,2.14584175259475,0.976614668672713,0.963636363636364,0.562499999999997,27.5
"E-AUX2",4,3,0.666666666666667,1.03972077083992,0.946394630357186,0.833333333333333,1.99840144432528e-15,6
"E-AUX5-",11,6,0.5,1.72019345921983,0.960058249314534,0.890909090909091,0.863999999999999,9.16666666666667
"E-AUX8-",11,8,0.7,2.01981499249295,0.971325691060918,0.945454545454545,0.76190476190476,18.3333333333333
"E_BAZ_46",9,8,0.875,2.04319187054512,0.982567593073364,0.972222222222222,0,36
"E_IMP",17,17,1,NA,NA,NA,NA,NA
"W-10-",29,22,0.75,2.99658697428412,0.969442192884936,0.977832512315271,0.812439261418851,45.1111111111111
"W-2-",11,7,0.6,1.89378823239114,0.973214633425146,0.927272727272727,0.875,13.75
"W-3-",33,32,0.96875,3.45449864143254,0.996757611750479,0.998106060606061,-1.21021472413341e-13,528
"W-4-",10,3,0.222222222222222,0.801818552543337,0.729846699162098,0.511111111111111,0.36734693877551,2.04545454545455
"W-5-",30,27,0.896551724137931,3.24512634075801,0.984613763572651,0.990804597701149,0.461538461538464,108.75
"W-6-",33,31,0.9375,3.39663371704211,0.989122415076488,0.994318181818182,0,176
"W-7-",32,30,0.935483870967742,3.37909250522973,0.993500854566218,0.995967741935484,0.517241379310358,248
"W-8-",39,35,0.894736842105263,3.52137760909171,0.990445252670009,0.994601889338731,0.772058823529406,185.25
"W-9-",30,28,0.931034482758621,3.3087777575875,0.992969593397953,0.995402298850575,0.518518518518519,217.5
